[2025-03-16 11:31:41,387] [INFO] - ⏳ scheduler 定时任务已启动...
[2025-03-16 11:35:38,846] [INFO] - ⏳ scheduler 定时任务已启动...
[2025-03-16 11:36:00,029] [INFO] - 🔹 scheduler任务开始执行：3/16/2025 11:36:00 AM
[2025-03-16 11:36:40,222] [INFO] - 读取文件成功
[2025-03-16 11:36:40,394] [INFO] - 成功上传 1 个文件。
[2025-03-16 11:36:40,396] [INFO] - csv changing encoding to utf8
[2025-03-16 11:36:40,401] [INFO] - csv encoding changed to utf8 .
[2025-03-16 11:36:40,401] [INFO] - 读取文件成功
[2025-03-16 11:36:40,408] [INFO] - 成功上传 1 个文件。
[2025-03-16 11:36:40,418] [INFO] - ===csv retrieving data===
[2025-03-16 11:36:40,441] [INFO] - ===csv data 208===
[2025-03-16 11:36:40,442] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,451] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,453] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,454] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,455] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,456] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,457] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,459] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,460] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,462] [INFO] - ===csv details 3694452696===
[2025-03-16 11:36:40,464] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,465] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,466] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,468] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,469] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,470] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,471] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,472] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,474] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,476] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,477] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,479] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,481] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,482] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,483] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,484] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,486] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,488] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,489] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,490] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,491] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,492] [INFO] - ===csv details 3694432662===
[2025-03-16 11:36:40,494] [INFO] - ===csv details 3694383405===
[2025-03-16 11:36:40,495] [INFO] - ===csv details 3694383405===
[2025-03-16 11:36:40,496] [INFO] - ===csv details 3694268231===
[2025-03-16 11:36:40,499] [INFO] - ===csv details 3694268231===
[2025-03-16 11:36:40,500] [INFO] - ===csv details 3694168887===
[2025-03-16 11:36:40,501] [INFO] - ===csv details 3694158905===
[2025-03-16 11:36:40,503] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,504] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,505] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,506] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,508] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,510] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,511] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,512] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,514] [INFO] - ===csv details 3694116082===
[2025-03-16 11:36:40,515] [INFO] - ===csv details 3694116082===
