门店名称,门店ID,商品名称,支付类型,子规格商品名,属性,商品条形码,商品一级分组,财务分组,订单号,下单日期,下单时间,结账日期,结账时间,单价,数量,单位,原单价格,优惠金额,实收金额（含抹零金额）,退款金额,折扣率,销售渠道,取餐码,桌台,实时库存,是否会员消费,会员名称,会员等级,会员实体卡号,下单人,开台人,商品备注,订单备注,
"慕味茶餐厅","171656","咖喱蟹1780","现金","","","","仅限云中庭","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","1780","1.000000000000000000","份","1780","0","1780","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","红烧牛肉面 58 Braised Beef Noodles 58","现金","","","","仅限云中庭","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","58","3.000000000000000000","份","174","0","174","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","一磅水果奶油蛋糕","现金","","","","","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","129","10.000000000000000000","份","1290","0","1290","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","马卡龙","现金","","","","VIP中餐","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","68","1.000000000000000000","份","68","0","68","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","牛肉披萨118","现金","","","","","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","118","1.000000000000000000","份","118","0","118","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","韩式炸鸡78 Korean Fried Chicken78","现金","","","","","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","78","1.000000000000000000","份","78","0","78","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","炸粗薯条38  French Fries  38","现金","","","","仅限云中庭","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","38","1.000000000000000000","份","38","0","38","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","肉炒小灰蘑小白菜","现金","","","","","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","68","1.000000000000000000","份","68","0","68","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","VIP 生炒广东菜心","现金","","","","VIP中餐","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","68","1.000000000000000000","份","68","0","68","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","姜汁炒青豆苗","现金","","","","中式热菜2","","3694452696","2025-03-14","23:25:04","2025-03-14","23:25:08","68","1.000000000000000000","份","68","0","68","0","0.0000","收银机","","Y03","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","差价1","现金","","","","VIP中餐","","3694432662","2025-03-14","23:19:27","2025-03-14","23:19:38","1","1.000000000000000000","份","1","0","1","0","0.0000","收银机","","Y01","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","果盘88","现金","","","","仅限云中庭","","3694432662","2025-03-14","23:19:27","2025-03-14","23:19:38","88","1.000000000000000000","份","88","0","88","0","0.0000","收银机","","Y01","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","素馅饼","现金","","","","VIP中餐","","3694432662","2025-03-14","23:19:27","2025-03-14","23:19:38","8","6.000000000000000000","份","48","0","48","0","0.0000","收银机","","Y01","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
"慕味茶餐厅","171656","黄油饼/个","现金","","","","精美港式主食","","3694432662","2025-03-14","23:19:27","2025-03-14","23:19:38","5","6.000000000000000000","份","30","0","30","0","0.0000","收银机","","Y01","0","否","","","","YUN33233/云中庭收银","YUN33233/云中庭收银","","",
